	cancer	sample	transposon_class	N_motifs_inTE	N_motifs_outsideTE	N_mutated_motifs_inTE	N_mutated_motifs_outsideTE	D_APOBEC_in	D_APOBEC_outside
22	BLCA	418a3dec-96ff-4719-becb-e1a8260cce2f	SINE	45502579	305266732	6549	40913	0.00014392590802380674	0.00013402377564024893
23	BLCA	418a3dec-96ff-4719-becb-e1a8260cce2f	SVA	513537	350255774	58	47404	0.00011294220280135609	0.00013534109504787208
24	BLCA	448fe471-3f4e-4dc8-a4e0-6f147dc93abe	DNA_transposons	11364604	339404707	2469	70649	0.0002172535004299314	0.0002081556282011139
25	BLCA	448fe471-3f4e-4dc8-a4e0-6f147dc93abe	LINE	74087089	276682222	15533	57585	0.0002096586626584829	0.00020812685247265363
26	BLCA	448fe471-3f4e-4dc8-a4e0-6f147dc93abe	LTR	31965907	318803404	6595	66523	0.00020631355775389072	0.00020866464775890536
27	BLCA	448fe471-3f4e-4dc8-a4e0-6f147dc93abe	RC_transposons	49644	350719667	14	73104	0.0002820078962210942	0.00020843997893052287
28	BLCA	448fe471-3f4e-4dc8-a4e0-6f147dc93abe	SINE	45502579	305266732	10110	63008	0.00022218520844719593	0.0002064031006169385
29	BLCA	448fe471-3f4e-4dc8-a4e0-6f147dc93abe	SVA	513537	350255774	105	73013	0.0002044643326576274	0.00020845623518543337
30	BLCA	45a7949d-e63f-4956-866c-df51257032de	DNA_transposons	11364604	339404707	2891	83559	0.0002543863384945045	0.0002461928142911701
31	BLCA	45a7949d-e63f-4956-866c-df51257032de	LINE	74087089	276682222	18462	67988	0.00024919321637809257	0.0002457259433170231
32	BLCA	45a7949d-e63f-4956-866c-df51257032de	LTR	31965907	318803404	7782	78668	0.0002434468698166456	0.0002467602259353542
33	BLCA	45a7949d-e63f-4956-866c-df51257032de	RC_transposons	49644	350719667	16	86434	0.00032229473853839335	0.00024644754239003085
34	BLCA	45a7949d-e63f-4956-866c-df51257032de	SINE	45502579	305266732	11914	74536	0.0002618313129020665	0.0002441667964002052
35	BLCA	45a7949d-e63f-4956-866c-df51257032de	SVA	513537	350255774	122	86328	0.0002375680817545766	0.00024647131156216144
36	BLCA	4838b5a9-968c-4178-bffb-3fafe1f6dc09	DNA_transposons	11364604	339404707	3002	86664	0.0002641535068005889	0.00025534118476441755
37	BLCA	4838b5a9-968c-4178-bffb-3fafe1f6dc09	LINE	74087089	276682222	19180	70486	0.00025888451360263327	0.00025475435136558934
38	BLCA	4838b5a9-968c-4178-bffb-3fafe1f6dc09	LTR	31965907	318803404	8125	81541	0.0002541770518196152	0.0002557720494101123
39	BLCA	4838b5a9-968c-4178-bffb-3fafe1f6dc09	RC_transposons	49644	350719667	16	89650	0.00032229473853839335	0.00025561725912564805
40	BLCA	4838b5a9-968c-4178-bffb-3fafe1f6dc09	SINE	45502579	305266732	12280	77386	0.0002698748130298285	0.00025350289398715087
41	BLCA	4838b5a9-968c-4178-bffb-3fafe1f6dc09	SVA	513537	350255774	128	89538	0.00024925175790644103	0.0002556360427051804
42	BLCA	7d2a22eb-7344-4cba-ad7d-94c3f9ef3d7c	DNA_transposons	11364604	339404707	3230	93079	0.00028421579845632985	0.0002742419244056035
43	BLCA	7d2a22eb-7344-4cba-ad7d-94c3f9ef3d7c	LINE	74087089	276682222	20524	75785	0.00027702532623464257	0.0002739062866135288
44	BLCA	7d2a22eb-7344-4cba-ad7d-94c3f9ef3d7c	LTR	31965907	318803404	8705	87604	0.0002723213829033539	0.0002747900395693391
45	BLCA	7d2a22eb-7344-4cba-ad7d-94c3f9ef3d7c	RC_transposons	49644	350719667	16	96293	0.00032229473853839335	0.0002745583126936534
46	BLCA	7d2a22eb-7344-4cba-ad7d-94c3f9ef3d7c	SINE	45502579	305266732	13262	83047	0.00029145600736169263	0.0002720473320361683
47	BLCA	7d2a22eb-7344-4cba-ad7d-94c3f9ef3d7c	SVA	513537	350255774	138	96171	0.0002687245514928817	0.00027457363201098864
48	BLCA	804ffa2e-158b-447d-945c-707684134c87	DNA_transposons	11364604	339404707	3327	95785	0.00029275107166074597	0.0002822147071755254
49	BLCA	804ffa2e-158b-447d-945c-707684134c87	LINE	74087089	276682222	21184	77928	0.00028593376100929	0.00028165163427088565
50	BLCA	804ffa2e-158b-447d-945c-707684134c87	LTR	31965907	318803404	8952	90160	0.0002800483652786702	0.00028280751983438674
51	BLCA	804ffa2e-158b-447d-945c-707684134c87	RC_transposons	49644	350719667	17	99095	0.00034243815969704295	0.00028254759947636467
52	BLCA	804ffa2e-158b-447d-945c-707684134c87	SINE	45502579	305266732	13636	85476	0.00029967532169989747	0.0002800043078392178
53	BLCA	804ffa2e-158b-447d-945c-707684134c87	SVA	513537	350255774	146	98966	0.0002843027863620343	0.00028255351473520607
54	BLCA	8c619cbc-9e91-4716-9711-5236e55d8f46	DNA_transposons	11364604	339404707	3523	101124	0.0003099976030841022	0.0002979451902533573
55	BLCA	8c619cbc-9e91-4716-9711-5236e55d8f46	LINE	74087089	276682222	22336	82311	0.0003014830289795837	0.0002974929122840426
56	BLCA	8c619cbc-9e91-4716-9711-5236e55d8f46	LTR	31965907	318803404	9484	95163	0.0002966910965485822	0.0002985005768633512
57	BLCA	8c619cbc-9e91-4716-9711-5236e55d8f46	RC_transposons	49644	350719667	19	104628	0.00038272500201434214	0.00029832373215614395
58	BLCA	8c619cbc-9e91-4716-9711-5236e55d8f46	SINE	45502579	305266732	14417	90230	0.00031683918399438415	0.0002955775737789862
59	BLCA	8c619cbc-9e91-4716-9711-5236e55d8f46	SVA	513537	350255774	154	104493	0.00029988102123118684	0.00029833341162849753
60	BLCA	91f458e6-64b7-454d-a542-b0aa23638fd8	DNA_transposons	11364604	339404707	3639	104783	0.0003202047339264967	0.0003087258303698186
61	BLCA	91f458e6-64b7-454d-a542-b0aa23638fd8	LINE	74087089	276682222	23108	85314	0.00031190319814023196	0.000308346518917287
62	BLCA	91f458e6-64b7-454d-a542-b0aa23638fd8	LTR	31965907	318803404	9834	98588	0.00030764026185773485	0.00030924387494934025
63	BLCA	91f458e6-64b7-454d-a542-b0aa23638fd8	RC_transposons	49644	350719667	20	108402	0.0004028684231729917	0.0003090844631761127
64	BLCA	91f458e6-64b7-454d-a542-b0aa23638fd8	SINE	45502579	305266732	14918	93504	0.0003278495489233698	0.0003063026206209722
65	BLCA	91f458e6-64b7-454d-a542-b0aa23638fd8	SVA	513537	350255774	158	108264	0.00030767013866576313	0.0003090998294292216
66	BLCA	94108975-b7a0-40ba-ad39-e44cc62e8cc0	DNA_transposons	11364604	339404707	4477	128692	0.0003939424550120708	0.00037916975618137197
67	BLCA	94108975-b7a0-40ba-ad39-e44cc62e8cc0	LINE	74087089	276682222	28168	105001	0.00038020119807919567	0.000379500349682749
68	BLCA	94108975-b7a0-40ba-ad39-e44cc62e8cc0	LTR	31965907	318803404	12141	121028	0.0003798109029097782	0.00037963208197111975
69	BLCA	94108975-b7a0-40ba-ad39-e44cc62e8cc0	RC_transposons	49644	350719667	21	133148	0.00042301184433164127	0.0003796422400229982
70	BLCA	94108975-b7a0-40ba-ad39-e44cc62e8cc0	SINE	45502579	305266732	18465	114704	0.000405801174478484	0.00037575008337298934
71	BLCA	94108975-b7a0-40ba-ad39-e44cc62e8cc0	SVA	513537	350255774	195	132974	0.0003797194749355937	0.00037964827383545145
72	BLCA	973d0577-8ca4-44a1-817f-1d3c1bada151	DNA_transposons	11364604	339404707	4617	132676	0.00040626140602875385	0.00039090795520405086
73	BLCA	973d0577-8ca4-44a1-817f-1d3c1bada151	LINE	74087089	276682222	29150	108143	0.0003934558692135954	0.0003908563377086078
74	BLCA	973d0577-8ca4-44a1-817f-1d3c1bada151	LTR	31965907	318803404	12527	124766	0.00039188626807930087	0.00039135717634934664
75	BLCA	973d0577-8ca4-44a1-817f-1d3c1bada151	RC_transposons	49644	350719667	23	137270	0.00046329868664894046	0.000391395216510627
76	BLCA	973d0577-8ca4-44a1-817f-1d3c1bada151	SINE	45502579	305266732	19012	118281	0.00041782247111751624	0.0003874677048005349
77	BLCA	973d0577-8ca4-44a1-817f-1d3c1bada151	SVA	513537	350255774	200	137093	0.0003894558717288141	0.00039140825127411034
78	BLCA	abd2d959-d5ed-4eb3-9759-67eb1aa23325	DNA_transposons	11364604	339404707	4831	138692	0.0004250918025828265	0.00040863310714191127
79	BLCA	abd2d959-d5ed-4eb3-9759-67eb1aa23325	LINE	74087089	276682222	30485	113038	0.0004114752031895868	0.00040854811408880476
80	BLCA	abd2d959-d5ed-4eb3-9759-67eb1aa23325	LTR	31965907	318803404	13095	130428	0.0004096551992095829	0.00040911733803193645
81	BLCA	abd2d959-d5ed-4eb3-9759-67eb1aa23325	RC_transposons	49644	350719667	24	143499	0.00048344210780759005	0.0004091558401257264
82	BLCA	abd2d959-d5ed-4eb3-9759-67eb1aa23325	SINE	45502579	305266732	19892	123631	0.00043716203426623357	0.0004049933616742751
83	BLCA	abd2d959-d5ed-4eb3-9759-67eb1aa23325	SVA	513537	350255774	212	143311	0.00041282322403254294	0.0004091609921611171
84	BLCA	acc629cb-ad03-4cec-9b21-922e4932ef3e	DNA_transposons	11364604	339404707	5146	147890	0.0004528094423703633	0.0004357334973554153
85	BLCA	acc629cb-ad03-4cec-9b21-922e4932ef3e	LINE	74087089	276682222	32489	120547	0.00043852445059624356	0.0004356875520538504
86	BLCA	acc629cb-ad03-4cec-9b21-922e4932ef3e	LTR	31965907	318803404	13950	139086	0.0004364024458933701	0.00043627514090156957
87	BLCA	acc629cb-ad03-4cec-9b21-922e4932ef3e	RC_transposons	49644	350719667	24	153012	0.00048344210780759005	0.00043628006752184786
88	BLCA	acc629cb-ad03-4cec-9b21-922e4932ef3e	SINE	45502579	305266732	21314	131722	0.0004684130101724564	0.0004314980513500567
89	BLCA	acc629cb-ad03-4cec-9b21-922e4932ef3e	SVA	513537	350255774	228	152808	0.00044397969377084806	0.00043627546308487125
90	BLCA	b73523d7-f5a5-4140-8537-4df4d1ecf465	DNA_transposons	11364604	339404707	6138	177854	0.0005400980095742888	0.0005240174821735751
91	BLCA	b73523d7-f5a5-4140-8537-4df4d1ecf465	LINE	74087089	276682222	38911	145081	0.0005252062204792524	0.0005243596749775994
92	BLCA	b73523d7-f5a5-4140-8537-4df4d1ecf465	LTR	31965907	318803404	16757	167235	0.0005242147516727743	0.0005245709358862429
93	BLCA	b73523d7-f5a5-4140-8537-4df4d1ecf465	RC_transposons	49644	350719667	25	183967	0.0005035855289662396	0.0005245414423822431
94	BLCA	b73523d7-f5a5-4140-8537-4df4d1ecf465	SINE	45502579	305266732	25679	158313	0.0005643416387453555	0.0005186054797481174
95	BLCA	b73523d7-f5a5-4140-8537-4df4d1ecf465	SVA	513537	350255774	269	183723	0.000523818147475255	0.0005245395326445068
96	BLCA	c66c92d5-df65-46e6-861d-d8a98808e6a3	DNA_transposons	11364604	339404707	6158	178485	0.0005418578597195292	0.0005258766196191852
97	BLCA	c66c92d5-df65-46e6-861d-d8a98808e6a3	LINE	74087089	276682222	39056	145587	0.0005271633766039856	0.0005261884878169006
98	BLCA	c66c92d5-df65-46e6-861d-d8a98808e6a3	LTR	31965907	318803404	16823	167820	0.000526279451416786	0.0005264059225666235
99	BLCA	c66c92d5-df65-46e6-861d-d8a98808e6a3	RC_transposons	49644	350719667	25	184618	0.0005035855289662396	0.0005263976257139865
100	BLCA	c66c92d5-df65-46e6-861d-d8a98808e6a3	SINE	45502579	305266732	25766	158877	0.0005662536182839219	0.0005204530443232183
101	BLCA	c66c92d5-df65-46e6-861d-d8a98808e6a3	SVA	513537	350255774	274	184369	0.0005335545442684753	0.000526383899098834
102	BLCA	cda1a403-16b6-487c-a82a-c377d1d0f89d	DNA_transposons	11364604	339404707	7192	207353	0.0006328421122284595	0.00061093142117207
103	BLCA	cda1a403-16b6-487c-a82a-c377d1d0f89d	LINE	74087089	276682222	45217	169328	0.0006103222654624749	0.0006119945068245114
104	BLCA	cda1a403-16b6-487c-a82a-c377d1d0f89d	LTR	31965907	318803404	19491	195054	0.000609743374401984	0.0006118316101794195
105	BLCA	cda1a403-16b6-487c-a82a-c377d1d0f89d	RC_transposons	49644	350719667	32	214513	0.0006445894770767867	0.0006116366436901299
106	BLCA	cda1a403-16b6-487c-a82a-c377d1d0f89d	SINE	45502579	305266732	30089	184456	0.0006612592222519959	0.0006042453391219846
107	BLCA	cda1a403-16b6-487c-a82a-c377d1d0f89d	SVA	513537	350255774	311	214234	0.0006056038805383059	0.0006116501594060802
108	BLCA	d4615ca0-b5c7-4a5c-8593-bd50034a78ae	DNA_transposons	11364604	339404707	7364	212349	0.0006479768234775272	0.0006256513113119553
109	BLCA	d4615ca0-b5c7-4a5c-8593-bd50034a78ae	LINE	74087089	276682222	46347	173366	0.000625574585606947	0.0006265888669926903
110	BLCA	d4615ca0-b5c7-4a5c-8593-bd50034a78ae	LTR	31965907	318803404	19964	199749	0.0006245403892340674	0.000626558554562987
111	BLCA	d4615ca0-b5c7-4a5c-8593-bd50034a78ae	RC_transposons	49644	350719667	33	219680	0.0006647328982354364	0.0006263692078608184
112	BLCA	d4615ca0-b5c7-4a5c-8593-bd50034a78ae	SINE	45502579	305266732	30785	188928	0.0006765550585605269	0.0006188948227742025
113	BLCA	d4615ca0-b5c7-4a5c-8593-bd50034a78ae	SVA	513537	350255774	320	219393	0.0006231293947661026	0.00062637939553282
114	BLCA	df8a913c-5160-4fc5-950d-7c890e24e820	DNA_transposons	11364604	339404707	7948	230278	0.0006993644477185478	0.0006784761532491062
115	BLCA	df8a913c-5160-4fc5-950d-7c890e24e820	LINE	74087089	276682222	50199	188027	0.0006775674503826166	0.000679577454022326
116	BLCA	df8a913c-5160-4fc5-950d-7c890e24e820	LTR	31965907	318803404	21637	216589	0.0006768773994118171	0.0006793810771230034
117	BLCA	df8a913c-5160-4fc5-950d-7c890e24e820	RC_transposons	49644	350719667	37	238189	0.0007453065828700346	0.0006791435508519686
118	BLCA	df8a913c-5160-4fc5-950d-7c890e24e820	SINE	45502579	305266732	33423	204803	0.0007345297944540682	0.0006708985242453475
119	BLCA	df8a913c-5160-4fc5-950d-7c890e24e820	SVA	513537	350255774	352	237874	0.0006854423342427128	0.0006791436934313037
120	BLCA	e6c78a98-f45b-482b-a551-4f11b8c1ff8b	DNA_transposons	11364604	339404707	8116	235833	0.0007141471889385675	0.0006948430447076858
121	BLCA	e6c78a98-f45b-482b-a551-4f11b8c1ff8b	LINE	74087089	276682222	51438	192511	0.0006942910120277502	0.0006957837717524185
122	BLCA	e6c78a98-f45b-482b-a551-4f11b8c1ff8b	LTR	31965907	318803404	22131	221818	0.0006923313641624497	0.0006957830349891747
123	BLCA	e6c78a98-f45b-482b-a551-4f11b8c1ff8b	RC_transposons	49644	350719667	37	243912	0.0007453065828700346	0.0006954614267468496
124	BLCA	e6c78a98-f45b-482b-a551-4f11b8c1ff8b	SINE	45502579	305266732	34258	209691	0.0007528804026690443	0.0006869107505628881
125	BLCA	e6c78a98-f45b-482b-a551-4f11b8c1ff8b	SVA	513537	350255774	360	243589	0.0007010205691118654	0.0006954603409335945
126	BLCA	f389176f-d8f3-45c2-aae4-7378a3d6fc7f	DNA_transposons	11364604	339404707	8214	238573	0.0007227704546502456	0.0007029160028708736
127	BLCA	f389176f-d8f3-45c2-aae4-7378a3d6fc7f	LINE	74087089	276682222	52118	194669	0.0007034693993713263	0.0007035833332291223
128	BLCA	f389176f-d8f3-45c2-aae4-7378a3d6fc7f	LTR	31965907	318803404	22377	224410	0.0007000270632083113	0.0007039134375114765
129	BLCA	f389176f-d8f3-45c2-aae4-7378a3d6fc7f	RC_transposons	49644	350719667	37	246750	0.0007453065828700346	0.0007035533596124223
130	BLCA	f389176f-d8f3-45c2-aae4-7378a3d6fc7f	SINE	45502579	305266732	34615	212172	0.000760726111810058	0.0006950380691991029
131	BLCA	f389176f-d8f3-45c2-aae4-7378a3d6fc7f	SVA	513537	350255774	370	246417	0.0007204933626983061	0.0007035344405200298
132	BLCA	ffdd4feb-aca3-4104-b1e8-954d705a6450	DNA_transposons	11364604	339404707	8338	241996	0.0007336815255507363	0.0007130013079046662
133	BLCA	ffdd4feb-aca3-4104-b1e8-954d705a6450	LINE	74087089	276682222	52855	197479	0.0007134171515363494	0.0007137393887201037
134	BLCA	ffdd4feb-aca3-4104-b1e8-954d705a6450	LTR	31965907	318803404	22672	227662	0.0007092556453974542	0.0007141140814167718
135	BLCA	ffdd4feb-aca3-4104-b1e8-954d705a6450	RC_transposons	49644	350719667	37	250297	0.0007453065828700346	0.0007136668500543484
136	BLCA	ffdd4feb-aca3-4104-b1e8-954d705a6450	SINE	45502579	305266732	35090	215244	0.0007711650805551043	0.0007051013996507159
137	BLCA	ffdd4feb-aca3-4104-b1e8-954d705a6450	SVA	513537	350255774	372	249962	0.0007243879214155942	0.0007136556155673824
138	BRCA	01658141-8398-4585-9f0f-8355dd9b0604	DNA_transposons	11364604	339404707	8855	256954	0.0007791736518052015	0.0007570725882714408
139	BRCA	01658141-8398-4585-9f0f-8355dd9b0604	LINE	74087089	276682222	56175	209634	0.0007582292779785152	0.0007576706536641881
140	BRCA	01658141-8398-4585-9f0f-8355dd9b0604	LTR	31965907	318803404	24036	241773	0.0007519261067736949	0.0007583764695310468
141	BRCA	01658141-8398-4585-9f0f-8355dd9b0604	RC_transposons	49644	350719667	38	265771	0.0007654500040286843	0.0007577875580042678
142	BRCA	01658141-8398-4585-9f0f-8355dd9b0604	SINE	45502579	305266732	37416	228393	0.0008222830622413732	0.0007481752056755402
143	BRCA	01658141-8398-4585-9f0f-8355dd9b0604	SVA	513537	350255774	393	265416	0.0007652807879471197	0.0007577776576496924
144	BRCA	0448206f-3ade-4087-b1a9-4fb2d14e1367	DNA_transposons	11364604	339404707	8934	259292	0.0007861250598789011	0.0007639611197260149
145	BRCA	0448206f-3ade-4087-b1a9-4fb2d14e1367	LINE	74087089	276682222	56737	211489	0.000765814945165412	0.000764375095990085
146	BRCA	0448206f-3ade-4087-b1a9-4fb2d14e1367	LTR	31965907	318803404	24254	243972	0.0007587458725948242	0.000765274137411657
147	BRCA	0448206f-3ade-4087-b1a9-4fb2d14e1367	RC_transposons	49644	350719667	39	268187	0.0007855934251873338	0.0007646762506762987
148	BRCA	0448206f-3ade-4087-b1a9-4fb2d14e1367	SINE	45502579	305266732	37722	230504	0.0008290079557908136	0.0007550904695373095
149	BRCA	0448206f-3ade-4087-b1a9-4fb2d14e1367	SVA	513537	350255774	403	267823	0.0007847535815335604	0.0007646497784787411
150	BRCA	07b5141f-ac79-439b-883b-b0183bbe7ff5	DNA_transposons	11364604	339404707	8991	261063	0.0007911406327928364	0.0007691790791811264
151	BRCA	07b5141f-ac79-439b-883b-b0183bbe7ff5	LINE	74087089	276682222	57143	212911	0.0007712949823146649	0.0007695145660641687
152	BRCA	07b5141f-ac79-439b-883b-b0183bbe7ff5	LTR	31965907	318803404	24422	245632	0.0007640014719432175	0.0007704811081628225
153	BRCA	07b5141f-ac79-439b-883b-b0183bbe7ff5	RC_transposons	49644	350719667	39	270015	0.0007855934251873338	0.0007698883906615935
154	BRCA	07b5141f-ac79-439b-883b-b0183bbe7ff5	SINE	45502579	305266732	37967	232087	0.0008343922659856269	0.0007602760984777077
155	BRCA	07b5141f-ac79-439b-883b-b0183bbe7ff5	SVA	513537	350255774	408	269646	0.0007944899783267807	0.0007698545463521752
156	BRCA	110b5f05-ded7-45ec-b0f6-a941c92d77dd	DNA_transposons	11364604	339404707	9097	264057	0.0008004678385626108	0.0007780004064587119
157	BRCA	110b5f05-ded7-45ec-b0f6-a941c92d77dd	LINE	74087089	276682222	57822	215332	0.0007804598720297946	0.0007782646765067543
158	BRCA	110b5f05-ded7-45ec-b0f6-a941c92d77dd	LTR	31965907	318803404	24687	248467	0.0007722915542487188	0.0007793737359215901
159	BRCA	110b5f05-ded7-45ec-b0f6-a941c92d77dd	RC_transposons	49644	350719667	39	273115	0.0007855934251873338	0.0007787273589079908
160	BRCA	110b5f05-ded7-45ec-b0f6-a941c92d77dd	SINE	45502579	305266732	38363	234791	0.0008430950694025497	0.0007691339258023046
161	BRCA	110b5f05-ded7-45ec-b0f6-a941c92d77dd	SVA	513537	350255774	414	272740	0.0008061736544786452	0.0007786880909492159
162	BRCA	13c312ec-0add-4758-ab8d-c193e2e08c6d	DNA_transposons	11364604	339404707	9111	264459	0.000801699733664279	0.0007791848331673255
163	BRCA	13c312ec-0add-4758-ab8d-c193e2e08c6d	LINE	74087089	276682222	57915	215655	0.0007817151514753131	0.0007794320807500238
164	BRCA	13c312ec-0add-4758-ab8d-c193e2e08c6d	LTR	31965907	318803404	24725	248845	0.0007734803207679982	0.0007805594196227591
165	BRCA	13c312ec-0add-4758-ab8d-c193e2e08c6d	RC_transposons	49644	350719667	39	273531	0.0007855934251873338	0.0007799134914210557
166	BRCA	13c312ec-0add-4758-ab8d-c193e2e08c6d	SINE	45502579	305266732	38415	235155	0.0008442378617704284	0.0007703263256344619
167	BRCA	13c312ec-0add-4758-ab8d-c193e2e08c6d	SVA	513537	350255774	415	273155	0.0008081209338372892	0.0007798729393680174
168	BRCA	13d05f7a-e16a-40ef-9a15-21257da2cf89	DNA_transposons	11364604	339404707	9121	264826	0.0008025796587368992	0.0007802661381475773
169	BRCA	13d05f7a-e16a-40ef-9a15-21257da2cf89	LINE	74087089	276682222	57983	215964	0.0007826329902096707	0.0007805488854285694
170	BRCA	13d05f7a-e16a-40ef-9a15-21257da2cf89	LTR	31965907	318803404	24768	249179	0.0007748255039345512	0.0007816070872317286
171	BRCA	13d05f7a-e16a-40ef-9a15-21257da2cf89	RC_transposons	49644	350719667	39	273908	0.0007855934251873338	0.0007809884240110208
172	BRCA	13d05f7a-e16a-40ef-9a15-21257da2cf89	SINE	45502579	305266732	38465	235482	0.0008453367005856965	0.0007713975199891746
173	BRCA	13d05f7a-e16a-40ef-9a15-21257da2cf89	SVA	513537	350255774	417	273530	0.0008120154925545773	0.000780943585529585
174	BRCA	15f90ef0-831b-40a3-98bd-ec226a9e8b26	DNA_transposons	11364604	339404707	9139	265659	0.0008041635238676156	0.0007827204352825902
175	BRCA	15f90ef0-831b-40a3-98bd-ec226a9e8b26	LINE	74087089	276682222	58160	216638	0.0007850220704446898	0.0007829848930445556
176	BRCA	15f90ef0-831b-40a3-98bd-ec226a9e8b26	LTR	31965907	318803404	24850	249948	0.0007773907369498385	0.0007840192321158529
177	BRCA	15f90ef0-831b-40a3-98bd-ec226a9e8b26	RC_transposons	49644	350719667	39	274759	0.0007855934251873338	0.0007834148633586608
178	BRCA	15f90ef0-831b-40a3-98bd-ec226a9e8b26	SINE	45502579	305266732	38576	236222	0.0008477761227555915	0.0007738216295380657
179	BRCA	15f90ef0-831b-40a3-98bd-ec226a9e8b26	SVA	513537	350255774	418	274380	0.0008139627719132215	0.000783370383495805
180	BRCA	1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa	DNA_transposons	11364604	339404707	9192	267422	0.0008088271267525027	0.0007879148240569333
181	BRCA	1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa	LINE	74087089	276682222	58546	218068	0.0007902321550250139	0.0007881532771556244
182	BRCA	1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa	LTR	31965907	318803404	24993	251621	0.0007818642530618637	0.0007892669803488046
183	BRCA	1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa	RC_transposons	49644	350719667	39	276575	0.0007855934251873338	0.0007885927879830018
184	BRCA	1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa	SINE	45502579	305266732	38885	237729	0.000854566946633948	0.0007787582958761455
185	BRCA	1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa	SVA	513537	350255774	420	276194	0.0008178573306305096	0.0007885494558613615
186	BRCA	1c0e384f-7254-4afe-93c0-b3fc6c6a7894	DNA_transposons	11364604	339404707	9382	272612	0.0008255457031322869	0.0008032063032054531
187	BRCA	1c0e384f-7254-4afe-93c0-b3fc6c6a7894	LINE	74087089	276682222	59757	222237	0.0008065777830736473	0.0008032211046794326
188	BRCA	1c0e384f-7254-4afe-93c0-b3fc6c6a7894	LTR	31965907	318803404	25481	256513	0.0007971305178357679	0.000804611860417902
